,url,res,var,year,month
108,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198801.nc,30arcsec,pr,1988,1
109,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198802.nc,30arcsec,pr,1988,2
110,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198803.nc,30arcsec,pr,1988,3
111,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198804.nc,30arcsec,pr,1988,4
112,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198805.nc,30arcsec,pr,1988,5
113,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198806.nc,30arcsec,pr,1988,6
114,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198807.nc,30arcsec,pr,1988,7
115,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198808.nc,30arcsec,pr,1988,8
116,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198809.nc,30arcsec,pr,1988,9
117,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198810.nc,30arcsec,pr,1988,10
118,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198811.nc,30arcsec,pr,1988,11
119,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198812.nc,30arcsec,pr,1988,12
120,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198901.nc,30arcsec,pr,1989,1
